,body_length,description,gts,listed,name_length,num_order,num_payouts,org_desc,sale_duration2,fraud_target,time_to_payout,time_till_event,is_country_same,CHECK,ACH
149,1946,0.10208400106068079,8991.21,0,36,22,0,0.10368451742511677,0,1,432000,2232,1,0,1
150,116,0.12727649913631917,1182.28,1,27,11,1,0.026359660913067306,22,0,432000,70164734,1,0,1
151,5565,0.0463381918321969,750.0,1,65,3,0,0.10053406573106269,18,0,432000,129780612,1,1,0
152,924,0.06936564309227841,2314.98,1,21,43,165,0.10053406573106269,-37,0,432000,34028792,1,0,1
153,3859,0.01797169760714404,383.28,1,74,30,0,0.027511199865060572,22,0,432000,2162244,1,0,1
154,9024,0.04286738713236845,2171.68,0,22,11,62,0.06610093404257572,0,0,432000,89757563,0,0,1
155,8467,0.043839476958078966,232.47,0,56,13,30,0.10368451742511677,19,0,432000,29806214,0,0,1
156,210,0.11630215016296527,458.96,1,40,7,3,0.10053406573106269,19,0,432000,35946581,0,0,1
157,4741,0.01838385581548586,1090.43,1,38,21,11,0.023802479516384336,21,0,432000,52811922,1,1,0
158,540,0.07346989101937813,215.95,1,21,4,0,0.10053406573106269,153,0,432000,22390594,1,0,1
159,19058,0.11027882783072178,79.79,1,31,6,24,0.10053406573106269,190,0,432000,18780691,0,0,1
160,19480,0.07428878586999997,137.49,1,32,9,26,0.10368451742511677,212,0,432000,18780811,0,0,1
161,39,0.40352180285962264,180.0,1,42,18,0,0.10053406573106269,11,1,432000,151,0,0,1
162,0,0.1683912543676158,20250.0,0,17,3,1,0.031567903230843915,40,0,432000,56161268,0,0,1
163,2591,0.02477224731142431,39636.86,1,45,77,2,0.10368451742511677,145,0,432000,31648901,0,0,1
164,4677,0.05552726928959404,37.01,1,21,3,0,0.10368451742511677,38,0,432000,24019746,1,0,1
165,536,0.1019584394109867,10250.0,1,17,15,3,0.10053406573106269,178,0,432000,24781761,1,1,0
166,8888,0.018750931361135106,4849.81,1,43,58,2,0.10053406573106269,115,0,432000,431,1,0,1
167,1801,0.06066552929175345,598.72,1,30,8,21,0.03889043604087145,54,0,432000,4764633,1,1,0
168,4150,0.03858007739272367,136.85,0,35,4,0,0.10368451742511677,4,0,432000,7693280,1,0,1
169,978,0.08085280831829277,59.25,0,74,1,161,0.0799798861775082,39,0,432000,43483955,1,0,1
170,272,0.12817596232927234,275.0,1,65,18,3,0.04668790233466737,23,0,432000,10134822,1,0,1
171,17587,0.05760865204839286,11.54,1,33,1,0,0.0192300045907209,12,0,432000,34314151,1,0,1
172,9106,0.052765134565840366,287.91,1,36,9,73,0.036378536870836316,186,0,432000,24026760,1,0,1
173,3505,0.02977779327880551,54.74,1,29,1,0,0.07511914451630598,19,0,432000,2238000,1,1,0
174,1138,0.09586536312385913,28641.36,1,20,41,1,0.10053406573106269,157,0,432000,42843950,1,1,0
175,3713,0.02546826341762695,1529.12,0,16,5,40,0.07887865370293115,78,0,432000,70244917,1,0,1
176,18094,0.02104458719885309,91.66,0,32,1,3,0.10368451742511677,0,0,432000,73087190,1,0,1
177,668,0.6304185702389142,319.47,1,9,2,0,0.7830602672416697,1,1,432000,18,1,0,1
178,5576,0.014291927315302485,363.96,1,64,5,1,0.10368451742511677,15,0,432000,35233217,1,0,1
179,2350,0.02381109030521653,3648.39,1,24,108,10,0.10709422343357534,72,0,432000,44064013,1,0,1
180,5968,0.011305719148632593,1579.31,1,28,23,0,0.03756056841646547,98,0,432000,78,1,0,1
181,101,0.15269856471624402,857.52,1,38,3,0,0.10368451742511677,5,1,432000,1,1,0,1
182,122,0.1683912543676158,25.32,1,57,3,1,0.10368451742511677,5,0,432000,56511773,1,1,0
183,695,0.15781538559276187,1164.46,1,27,1,0,0.25085746678270365,1,1,432000,196,1,0,0
184,1000,0.0829695735524434,342.47,1,6,16,0,0.10368451742511677,25,0,432000,18000,1,0,1
185,4405,0.04824873431195752,1259.52,1,12,40,0,0.019712036740915654,41,0,432000,2436,1,0,1
186,130,0.1683912543676158,630.11,1,39,4,19,0.0779794267911438,155,0,432000,16923015,1,0,1
187,2805,0.36400771912403806,0.0,1,48,0,0,0.10053406573106269,153,1,432000,1,0,0,0
188,20542,0.030263186533929846,332.1,1,50,14,0,0.040916410503518894,21,0,432000,7787038,1,1,0
189,1609,0.14831204869209091,158.81,1,46,4,74,0.10368451742511677,80,0,432000,69363833,1,0,1
190,0,0.1683912543676158,15191.39,1,73,72,4,0.04619456548397133,67,0,432000,14846988,1,0,1
191,1231,0.019407823858159118,16150.0,1,12,301,1,0.10368451742511677,128,0,432000,15205135,1,0,1
192,911,0.05271772806626824,5530.28,1,15,6,0,0.10368451742511677,114,0,432000,26,1,0,1
193,0,0.1683912543676158,3212.34,1,69,23,43,0.10368451742511677,3,0,432000,92012476,0,1,0
194,453,0.0613620792754019,261.94,1,27,10,0,0.10368451742511677,21,0,432000,25922421,0,0,1
