,acct_type,num_payouts,sale_duration2,fraud_target,is_country_same,ACH
11057,premium,9,40,0,1,0
11058,premium,1,10,0,0,1
11059,premium,2,35,0,1,1
11060,premium,0,52,0,0,1
11061,premium,8,83,0,1,1
11062,premium,1,122,0,0,0
11063,premium,0,15,0,1,1
11064,premium,6,34,0,1,1
11065,spammer_limited,0,36,0,1,1
11066,premium,4,44,0,1,1
11067,premium,12,36,0,1,1
11068,premium,10,34,0,1,0
11069,premium,0,7,0,1,1
11070,spammer_limited,19,3,0,0,1
11071,premium,9,32,0,1,1
11072,premium,0,16,0,1,0
11073,premium,0,74,0,1,1
11074,premium,1,72,0,1,0
11075,premium,0,64,0,1,1
11076,premium,3,28,0,1,1
11077,premium,22,17,0,0,1
11078,premium,0,8,0,1,1
11079,premium,0,23,0,1,1
11080,premium,0,25,0,1,1
11081,premium,3,22,0,1,0
11082,premium,6,46,0,1,1
11083,premium,30,8,0,1,0
11084,premium,12,15,0,0,1
11085,premium,4,9,0,1,1
11086,premium,87,29,0,1,1
11087,premium,6,66,0,1,1
11088,premium,4,40,0,0,1
11089,premium,0,53,0,1,1
11090,premium,0,8,0,1,1
11091,premium,0,22,0,0,1
11092,premium,0,53,0,1,1
11093,fraudster,0,4,1,1,1
11094,premium,3,48,0,1,1
11095,premium,1,38,0,1,0
11096,premium,6,43,0,1,1
11097,premium,1,17,0,1,1
11098,premium,0,94,0,1,1
11099,premium,63,147,0,1,1
11100,premium,85,315,0,1,1
11101,premium,22,4,0,1,1
11102,premium,1,46,0,1,1
11103,spammer_warn,12,22,0,1,1
11104,premium,57,41,0,1,0
11105,spammer_warn,4,27,0,1,1
11106,premium,0,52,0,1,0
11107,premium,13,56,0,1,1
11108,premium,0,90,0,1,1
11109,premium,304,20,0,1,1
11110,premium,59,152,0,1,0
11111,premium,16,76,0,1,1
11112,premium,0,39,0,1,0
11113,premium,1,37,0,1,1
11114,premium,263,215,0,1,1
11115,premium,1,35,0,1,1
11116,premium,4,112,0,1,1
11117,premium,0,67,0,1,1
11118,premium,3,95,0,1,1
11119,premium,2,85,0,1,1
11120,premium,0,20,0,1,1
11121,premium,2,26,0,1,1
11122,premium,3,19,0,1,1
11123,fraudster,0,2,1,1,1
11124,premium,9,1,0,1,1
11125,premium,0,25,0,1,1
11126,premium,22,216,0,1,1
11127,premium,0,45,0,1,1
11128,premium,3,59,0,1,1
11129,premium,157,3,0,1,0
11130,premium,0,36,0,1,1
11131,fraudster,7,0,1,0,1
11132,premium,0,1,0,0,1
11133,fraudster,0,40,1,0,0
11134,premium,5,67,0,1,1
11135,premium,4,21,0,1,1
11136,fraudster,0,5,1,1,1
11137,premium,2,14,0,1,1
11138,premium,13,59,0,1,0
11139,premium,0,18,0,1,0
11140,premium,9,40,0,1,0
11141,fraudster,18,0,1,0,1
11142,premium,11,47,0,0,1
11143,premium,33,187,0,1,1
11144,premium,35,20,0,1,0
11145,premium,7,198,0,1,0
11146,fraudster_event,4,40,1,0,0
11147,premium,0,22,0,1,0
11148,premium,3,84,0,1,1
11149,premium,2,21,0,1,1
11150,premium,0,64,0,1,1
11151,premium,6,65,0,1,1
11152,premium,0,101,0,1,1
11153,premium,4,19,0,1,1
11154,premium,41,16,0,1,1
11155,premium,214,76,0,1,1
11156,premium,34,88,0,1,0
11157,spammer_noinvite,4,13,0,1,1
11158,premium,8,12,0,1,0
11159,locked,99,56,0,1,0
11160,premium,118,150,0,1,1
11161,fraudster,0,11,1,1,1
11162,fraudster,0,11,1,1,1
11163,fraudster_event,3,6,1,1,1
11164,premium,7,281,0,1,1
11165,fraudster_event,0,41,1,0,0
11166,premium,0,59,0,1,0
11167,premium,1,47,0,0,1
11168,premium,3,29,0,1,1
11169,premium,2,54,0,0,1
11170,premium,0,16,0,1,0
11171,fraudster_event,0,1,1,0,1
11172,spammer_warn,720,87,0,1,0
11173,premium,39,144,0,0,0
11174,spammer_limited,2,6,0,1,1
11175,premium,14,25,0,1,1
11176,premium,0,14,0,1,1
11177,premium,95,44,0,1,0
11178,premium,0,21,0,1,0
11179,premium,204,2,0,0,1
11180,premium,61,18,0,1,1
11181,premium,60,28,0,1,1
11182,premium,2,198,0,1,0
11183,premium,0,6,0,1,1
11184,premium,39,25,0,1,1
11185,fraudster,2,1,1,1,1
11186,premium,38,346,0,0,1
11187,premium,85,75,0,1,0
11188,premium,0,58,0,1,0
11189,premium,0,32,0,1,1
11190,premium,0,82,0,1,1
11191,premium,1,57,0,1,0
11192,premium,0,12,0,1,1
11193,fraudster,0,2,1,1,1
11194,premium,0,75,0,1,1
11195,premium,3,17,0,1,1
11196,premium,1,6,0,1,1
11197,premium,0,9,0,1,1
11198,premium,1,65,0,1,0
11199,premium,1033,35,0,1,1
11200,premium,189,123,0,1,1
11201,premium,0,79,0,1,1
11202,premium,8,119,0,1,1
11203,premium,8,68,0,1,1
11204,premium,27,67,0,0,1
11205,premium,1,33,0,1,1
11206,premium,107,78,0,1,0
11207,premium,17,120,0,1,1
11208,premium,0,11,0,1,1
11209,premium,5,12,0,1,1
11210,premium,2,79,0,1,1
11211,fraudster_event,0,6,1,1,0
11212,premium,1,21,0,1,1
11213,premium,1,121,0,1,1
11214,premium,17,97,0,0,1
11215,premium,2,4,0,1,1
11216,premium,1,17,0,1,1
11217,premium,55,52,0,1,1
11218,premium,14,0,0,0,0
11219,premium,195,50,0,1,1
11220,fraudster_event,0,9,1,0,1
11221,spammer_limited,6,38,0,1,1
11222,premium,109,105,0,0,1
11223,premium,1,1,0,1,1
11224,premium,1,39,0,1,0
11225,premium,0,25,0,1,1
11226,fraudster_event,1,4,1,0,1
11227,premium,124,43,0,1,1
11228,premium,68,26,0,1,0
11229,premium,0,1,0,1,0
11230,premium,0,73,0,1,1
11231,premium,57,41,0,1,1
11232,premium,35,86,0,1,0
11233,premium,3,22,0,1,1
11234,fraudster_event,0,4,1,1,1
11235,premium,25,32,0,1,1
11236,premium,1,31,0,1,1
11237,premium,14,68,0,1,0
11238,premium,97,393,0,1,1
11239,premium,9,48,0,0,0
11240,fraudster_event,0,4,1,1,1
11241,premium,48,73,0,0,0
11242,premium,2,13,0,1,1
11243,premium,1,110,0,1,1
11244,premium,6,40,0,1,1
11245,premium,0,167,0,1,1
11246,premium,0,79,0,1,1
11247,premium,10,51,0,1,1
11248,fraudster_event,0,1,1,1,1
11249,premium,10,42,0,1,1
11250,premium,0,43,0,1,1
11251,premium,12,115,0,1,1
11252,fraudster_event,0,3,1,1,1
11253,fraudster_event,0,1,1,0,0
11254,premium,1,7,0,1,1
11255,premium,0,53,0,1,0
11256,premium,0,25,0,0,1
11257,premium,9,49,0,0,0
11258,premium,1,45,0,1,0
11259,premium,47,7,0,1,0
11260,premium,48,53,0,0,1
11261,premium,26,98,0,0,0
11262,premium,0,37,0,0,0
11263,premium,1,10,0,1,1
11264,premium,254,119,0,1,1
11265,premium,0,34,0,1,0
11266,premium,0,18,0,1,0
11267,premium,0,27,0,0,1
11268,premium,1,109,0,1,0
11269,premium,5,105,0,1,0
11270,fraudster_event,0,-1,1,0,1
11271,premium,0,1,0,0,0
11272,premium,0,21,0,1,0
11273,premium,22,22,0,0,1
11274,premium,0,34,0,1,1
11275,premium,27,3,0,1,1
11276,premium,1,70,0,1,1
11277,premium,20,46,0,0,1
11278,premium,22,61,0,1,0
11279,premium,470,72,0,1,1
11280,premium,2,100,0,1,0
11281,fraudster_event,0,14,1,0,1
11282,fraudster_event,0,40,1,0,0
11283,premium,2,41,0,1,1
11284,premium,7,174,0,0,1
