,acct_type,body_length,gts,listed,name_length,num_order,num_payouts,sale_duration2,fraud_target,time_to_payout,time_till_event,is_country_same,CHECK,ACH
3540,premium,2407,272.68,1,18,8,0,86,0,432000,False,1,0,1
3541,premium,534,951.1,1,80,2,1,7,0,432000,False,1,1,0
3542,premium,747,6508.7,1,27,73,0,125,0,432000,False,1,1,0
3543,premium,3855,1035.0,1,60,22,3,26,0,432000,False,1,0,1
3544,premium,3489,330.05,0,53,31,0,43,0,432000,False,1,1,0
3545,premium,2336,3675.0,1,32,172,19,36,0,432000,False,1,1,0
3546,premium,0,43.82,1,48,4,5,29,0,432000,False,1,0,1
3547,premium,1279,48.22,1,20,5,0,32,0,432000,False,0,1,0
3548,fraudster,709,15629.36,1,33,18,0,7,1,432000,False,1,0,1
3549,fraudster,897,170.76,1,24,2,1,2,1,432000,False,1,0,1
3550,premium,6064,5927.5,1,36,35,9,61,0,432000,False,1,0,1
3551,premium,336,21142.91,1,11,105,0,48,0,432000,False,1,0,1
3552,premium,1341,4865.0,1,48,43,45,61,0,432000,False,1,1,0
3553,premium,180,1242.0,1,34,25,829,50,0,432000,False,1,0,1
3554,premium,3671,138.48,1,33,6,1,39,0,432000,False,1,1,0
3555,premium,2912,1830.58,1,19,41,6,40,0,432000,False,1,0,1
3556,premium,22835,8916.5,1,28,651,2,58,0,432000,False,0,0,1
3557,premium,163,43.82,1,43,4,23,48,0,432000,False,1,0,1
3558,premium,381,232.47,1,28,9,1,52,0,432000,False,1,0,1
3559,premium,1712,132.1,1,16,3,1,54,0,432000,False,1,0,1
3560,premium,570,1100.51,1,18,36,2,71,0,435600,False,1,0,1
3561,premium,2080,3490.0,1,23,83,15,207,0,432000,False,1,1,0
3562,premium,1109,367.77,1,20,33,76,3,0,432000,False,1,1,0
3563,premium,1082,57.7,1,79,4,0,26,0,432000,False,1,0,1
3564,premium,814,100.0,1,70,4,1,17,0,432000,False,1,0,1
3565,fraudster_event,0,0.0,1,31,0,0,40,1,432000,False,0,0,0
3566,premium,707,596.43,1,43,14,41,121,0,432000,False,1,1,0
3567,premium,3796,253.38,1,61,11,0,18,0,432000,False,1,0,1
3568,spammer_noinvite,2796,45.0,1,85,3,4,7,0,432000,False,1,0,1
3569,premium,2052,358.02,1,34,11,2,73,0,432000,False,1,0,1
3570,premium,178,46.0,1,57,1,894,57,0,432000,False,1,0,1
3571,premium,3485,484.0,1,60,17,1,363,0,432000,False,1,0,1
3572,premium,2014,14503.2,1,63,445,7,25,0,432000,False,1,0,1
3573,premium,2866,222.0,1,24,5,0,54,0,432000,False,1,0,1
3574,premium,30,145.0,1,34,4,0,28,0,432000,False,0,0,1
3575,premium,1206,875.0,0,14,98,41,14,0,432000,False,1,1,0
3576,premium,1111,74.29,1,48,1,0,56,0,432000,False,0,0,1
3577,premium,8379,1410.0,1,50,43,14,120,0,432000,False,1,0,1
3578,premium,155,25.42,0,28,1,41,3,0,432000,False,1,0,1
3579,premium,373,213.71,1,12,5,160,41,0,432000,False,1,0,1
3580,premium,4062,50.0,1,111,5,18,109,0,432000,False,1,1,0
3581,premium,986,390.12,1,33,4,12,29,0,432000,False,1,0,1
3582,premium,692,12.75,1,17,2,0,12,0,435600,False,0,0,1
3583,premium,3059,4452.5,1,65,129,2,47,0,432000,False,1,0,1
3584,premium,9570,2827.76,1,64,11,3,179,0,432000,False,1,0,1
3585,premium,22996,17870.43,1,93,168,1,100,0,432000,False,1,0,1
3586,premium,5419,143.2,1,120,12,3,3,0,432000,False,1,0,1
3587,premium,22738,426.28,1,38,7,15,32,0,432000,False,1,0,1
3588,premium,5502,479.08,1,24,10,0,38,0,432000,False,0,0,1
3589,premium,175,302.76,1,9,10,8,58,0,432000,False,1,0,1
3590,premium,3183,990.0,1,44,18,612,203,0,432000,False,1,1,0
3591,premium,355,690.0,1,38,21,21,16,0,432000,False,1,0,1
3592,premium,11523,899.27,1,28,30,19,60,0,432000,False,1,0,1
3593,premium,3396,1700.0,1,29,11,1,35,0,428400,False,1,0,1
3594,fraudster_event,1478,0.0,1,59,0,0,10,1,432000,False,1,0,0
3595,fraudster,5786,794.69,1,25,3,0,11,1,432000,False,0,0,1
3596,premium,15793,413.83,1,57,2,16,72,0,432000,False,1,0,1
3597,premium,32829,400.0,0,42,8,0,44,0,432000,False,1,1,0
3598,fraudster,660,1195.94,1,47,3,0,9,1,432000,False,1,0,1
3599,premium,1900,1059.31,1,54,58,2,7,0,432000,False,1,0,1
3600,premium,5751,3415.68,1,66,93,1,95,0,432000,False,1,0,1
3601,premium,1106,208.71,1,46,2,0,36,0,432000,False,1,0,1
3602,premium,408,2033.24,1,53,41,0,12,0,432000,False,1,0,1
3603,premium,2241,588.7,1,27,18,171,67,0,432000,False,1,0,1
3604,premium,9684,150.0,0,36,1,0,0,0,432000,False,0,0,1
3605,premium,4332,283.12,1,45,2,11,31,0,432000,False,1,0,1
3606,premium,111,20.0,1,34,1,3,15,0,432000,False,0,1,0
3607,premium,1460,105.0,1,44,6,13,34,0,432000,False,1,1,0
3608,fraudster,2361,27.37,1,27,3,2,6,1,432000,False,1,0,1
3609,premium,4668,486.5,1,18,9,0,40,0,432000,False,1,1,0
3610,premium,5989,325.7,1,51,44,0,38,0,432000,False,1,1,0
3611,premium,2773,15.0,1,20,1,0,13,0,432000,False,1,1,0
3612,premium,6903,58.96,1,58,2,0,15,0,432000,False,1,1,0
3613,premium,1127,25.3,1,38,1,1,33,0,432000,False,0,0,1
3614,fraudster,158,1210.13,1,25,4,0,1,1,432000,False,1,0,1
3615,fraudster,439,599.06,1,5,4,0,2,1,432000,False,1,0,1
3616,premium,863,44.57,1,18,13,3,14,0,432000,False,1,0,1
3617,premium,161,602.43,1,87,5,1,60,0,432000,False,1,0,1
3618,premium,250,445.76,1,52,7,2,9,0,432000,False,1,1,0
3619,premium,5026,1820.04,1,42,14,0,20,0,432000,False,1,0,1
3620,premium,2848,1333.0,0,21,55,0,22,0,432000,False,1,1,0
3621,fraudster,2039,5169.9,0,50,1,0,5,1,432000,False,1,0,1
3622,premium,7422,1520.0,1,68,5,1,0,0,432000,False,1,0,1
3623,premium,4194,259.92,1,18,5,4,15,0,432000,False,1,0,1
3624,premium,135,85.39,1,45,1,9,4,0,432000,False,1,1,0
3625,premium,63911,2151.0,0,5,12,2,45,0,432000,False,1,1,0
3626,premium,8843,19.29,1,22,1,0,71,0,432000,False,0,0,1
3627,premium,800,1407.81,1,58,30,6,24,0,428400,False,0,0,1
3628,premium,5881,2041.43,1,61,7,6,134,0,432000,False,1,0,1
3629,premium,3584,84.35,1,36,1,0,20,0,432000,False,1,0,1
3630,premium,52243,3411.62,1,71,14,0,33,0,432000,False,0,0,1
3631,premium,2027,10605.93,1,24,42,0,81,0,432000,False,1,0,1
3632,premium,678,449.37,1,19,3,0,63,0,432000,False,0,0,1
3633,spammer_noinvite,3532,330.02,1,40,5,1,21,0,432000,False,1,0,1
3634,tos_lock,250,1111.06,1,40,13,28,3,0,432000,False,0,0,1
3635,premium,566,40.0,1,27,4,8,54,0,432000,False,1,1,0
3636,fraudster,3579,5229.6,1,61,1,0,1,1,432000,False,1,0,1
3637,fraudster,0,200.0,1,16,1,0,-1,1,432000,True,0,0,1
3638,premium,141,173.76,1,18,4,7,28,0,432000,False,1,0,1
3639,premium,2306,205.0,1,47,40,0,30,0,432000,False,1,0,1
3640,fraudster,2924,529.48,1,41,2,0,6,1,432000,False,1,0,1
3641,premium,3171,7500.0,1,43,15,0,8,0,432000,False,1,0,1
3642,premium,29856,1395.63,1,21,8,10,18,0,432000,False,1,0,1
3643,premium,2341,2337.98,1,39,81,76,36,0,432000,False,1,1,0
3644,premium,5147,221.37,1,44,2,0,14,0,432000,False,1,0,1
3645,premium,1203,547.4,1,57,9,2,50,0,432000,False,1,1,0
3646,premium,3959,1501.1,0,23,29,0,54,0,432000,False,0,0,1
3647,premium,3155,160.23,1,16,2,3,41,0,432000,False,1,0,1
3648,tos_lock,10487,4467.0,1,33,167,9,47,0,432000,False,1,0,1
3649,fraudster,297,0.0,0,46,0,0,6,1,432000,False,1,0,0
3650,premium,7107,246.33,1,38,8,2,163,0,432000,False,0,1,0
3651,premium,4335,1775.0,1,41,16,3,30,0,432000,False,1,1,0
3652,fraudster,0,18320.78,0,13,46,0,9,1,432000,False,1,0,1
3653,premium,2939,181.34,1,12,1,309,38,0,432000,False,1,0,1
3654,premium,2262,6726.5,0,41,12,6,77,0,432000,False,0,0,1
3655,premium,7439,360.61,1,42,10,0,74,0,432000,False,1,0,1
3656,fraudster_event,815,0.0,0,11,0,0,25,1,432000,False,1,0,0
3657,premium,2005,281.4,1,56,6,29,86,0,432000,False,1,1,0
3658,premium,1088,1345.6,1,33,51,5,25,0,432000,False,1,0,1
3659,locked,2595,24.08,1,55,2,1,20,0,432000,False,1,0,1
3660,premium,1101,390.0,0,29,22,9,0,0,432000,False,1,0,1
3661,premium,885,60.0,1,55,2,92,23,0,432000,False,1,0,1
3662,premium,327,4261.73,1,32,41,2,113,0,432000,False,1,0,1
3663,premium,1772,14060.42,1,47,555,1,44,0,432000,False,1,0,1
3664,premium,2855,120.0,1,65,4,1,33,0,432000,False,1,1,0
3665,spammer_limited,23797,1180.33,1,54,11,3,33,0,432000,False,1,0,1
3666,premium,1629,614.18,1,15,9,11,24,0,432000,False,1,0,1
3667,premium,3635,513.23,1,35,30,2,24,0,432000,False,1,0,1
3668,spammer_warn,2192,409.85,1,18,5,0,26,0,432000,False,1,0,1
3669,premium,2691,164.35,1,17,8,11,86,0,432000,False,1,0,1
3670,premium,6400,1072.17,1,24,32,468,23,0,432000,False,1,0,1
3671,premium,764,752.36,0,35,14,9,39,0,432000,False,1,0,1
3672,premium,1864,693.0,1,21,6,0,41,0,432000,False,1,0,1
